combined	chromosome	haplotype	region	subtelomeric	acrocentric	repeat	gene
198	30	2	17	2	6	17	1
199	30	2	17	2	6	15	1
200	30	2	17	4	6	15	1
201	7	2	18	6	7	8	2
202	30	2	9	6	7	20	1
203	26	2	9	6	6	6	2
204	7	2	18	6	7	6	2
205	26	2	18	6	7	6	2
206	30	2	9	6	1	6	1
207	30	2	17	6	6	15	2
208	30	2	5	6	7	6	2
209	26	2	5	6	7	6	1
210	30	2	17	6	1	6	2
211	26	2	9	6	6	6	1
212	30	2	9	6	1	11	1
213	26	2	5	6	6	6	2
214	30	2	5	6	7	6	1
215	30	2	9	6	6	15	2
216	26	2	18	6	7	20	2
217	12	2	20	6	7	20	2
218	26	2	18	6	7	10	2
219	30	2	9	6	6	10	1
220	26	2	9	6	6	10	1
221	26	2	9	6	6	10	2
222	26	2	18	6	7	20	1
223	30	2	17	4	6	8	1
224	30	2	17	4	1	15	1
225	30	2	17	4	4	9	1
226	30	2	17	4	4	15	1
227	30	2	17	4	3	9	1
228	30	2	9	4	6	8	1
229	30	2	17	4	7	8	1
230	30	2	17	4	6	9	1
231	12	2	20	6	7	11	2
232	30	2	9	6	1	10	1
233	12	2	18	6	7	8	3
234	7	1	18	6	7	8	3
235	30	2	9	4	7	8	2
236	30	2	9	6	7	17	2
237	7	2	20	6	7	20	3
238	30	2	20	6	7	8	3
239	26	2	20	6	7	8	3
240	26	2	9	6	6	8	2
241	26	2	20	6	7	20	3
242	30	2	17	2	1	11	1
243	26	2	9	6	7	20	3
244	26	2	9	6	7	8	3
245	7	2	20	6	7	8	3
246	26	2	17	6	7	17	2
247	26	2	17	6	7	6	2
248	26	2	17	6	7	11	2
249	26	2	17	6	7	8	2
250	26	2	17	6	7	20	1
251	30	2	17	6	7	20	2
252	30	2	17	6	7	20	1
253	26	2	17	6	7	20	2
254	26	2	8	6	7	20	1
255	26	2	8	6	7	20	3
256	26	2	17	6	7	8	1
257	30	2	7	6	7	8	1
258	26	2	8	6	7	20	2
259	30	2	8	6	7	20	2
260	30	2	17	6	7	16	1
261	7	1	18	6	7	16	1
262	26	2	20	6	7	16	1
263	30	2	9	6	7	16	1
264	26	2	9	6	7	16	1
265	26	2	17	6	7	16	1
266	26	2	8	6	7	16	1
267	30	2	8	6	7	16	1
268	30	2	20	6	7	16	1
269	7	2	20	6	7	16	1
270	26	2	18	6	7	16	1
271	7	2	18	6	7	16	1
272	26	2	8	6	7	17	1
273	26	2	17	6	7	17	1
274	26	2	20	6	7	17	1
275	26	2	20	6	7	17	2
276	26	2	9	6	7	12	2
277	26	2	9	6	7	12	1
278	7	1	18	6	7	12	1
279	7	1	18	6	7	16	2
280	26	2	20	6	7	9	2
281	26	2	20	6	7	9	1
282	7	2	18	6	7	10	2
283	26	2	18	6	7	12	2
284	26	2	18	6	7	12	1
285	26	2	18	6	7	8	1
286	30	2	9	6	7	12	1
287	26	2	9	6	7	16	2
288	30	2	17	6	6	11	2
289	30	2	9	6	6	11	2
290	26	2	9	6	7	9	1
291	26	2	9	6	7	17	2
292	30	2	17	6	7	10	1
293	30	2	7	6	7	10	1
294	30	2	17	6	6	10	1
295	26	2	17	6	7	10	1
296	26	2	9	6	7	3	2
297	30	2	9	6	7	3	1
298	26	2	9	6	7	3	1
299	7	1	18	6	7	3	2
300	26	2	20	6	7	3	1
301	30	2	17	6	6	16	1
302	12	2	18	6	7	20	2
303	7	2	20	6	7	20	2
304	26	2	9	6	6	11	2
305	30	2	9	6	1	17	1
306	30	2	9	6	3	8	1
307	7	2	20	6	7	8	2
308	7	2	20	6	7	8	1
309	7	2	20	6	7	20	1
310	12	2	9	6	7	8	2
311	7	2	20	6	7	7	2
312	7	2	20	6	7	9	2
313	7	2	20	6	7	6	2
314	7	2	20	6	7	6	1
315	7	2	20	6	7	12	2
316	7	2	20	6	7	10	1
317	26	2	15	6	7	20	2
318	30	2	15	6	7	20	2
319	30	2	15	6	6	20	2
320	30	2	15	6	6	6	2
321	30	2	17	6	6	9	2
322	30	2	17	6	6	20	2
323	30	2	15	6	6	8	2
324	26	2	15	6	6	20	2
325	26	2	17	6	6	20	2
326	12	2	15	6	7	20	2
327	30	2	16	6	6	9	2
328	30	2	15	6	6	9	2
329	30	2	16	6	6	8	2
330	30	2	16	6	6	20	2
331	30	2	15	6	6	12	2
332	26	2	16	6	6	20	2
333	7	2	15	6	7	20	2
334	30	2	16	6	7	20	2
335	30	2	16	6	6	7	2
336	30	2	16	6	6	15	2
337	26	2	18	6	7	15	2
338	26	2	7	6	7	8	2
339	30	2	9	6	1	6	2
340	30	2	8	6	7	6	2
341	7	2	20	6	7	12	1
342	7	2	20	6	7	6	3
343	26	2	18	6	7	10	1
344	7	1	18	6	7	12	3
345	26	2	18	6	7	12	3
346	7	2	18	6	7	20	3
347	26	2	18	6	7	20	3
348	26	2	18	6	7	11	2
349	26	2	18	6	7	9	2
350	30	2	20	6	7	9	2
351	26	2	18	6	7	7	2
352	26	2	18	6	7	15	1
353	30	2	18	6	7	10	2
354	7	2	18	6	7	20	1
355	26	2	18	6	7	6	1
356	7	1	18	6	7	6	1
357	26	2	18	6	7	8	3
358	12	2	9	6	7	8	1
359	30	2	18	6	7	10	1
